MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region
CA,1,0.07069366080318619,7.07,33143,2012,California,West
CA,2,0.06676887456587716,6.68,31961,2012,California,West
CA,3,0.06533769883811896,6.53,34513,2012,California,West
CA,4,0.06622475336881088,6.62,32133,2012,California,West
CA,5,0.06551182933209324,6.55,34406,2012,California,West
CA,6,0.06734603455914931,6.73,33855,2012,California,West
CA,7,0.07045297132566837,7.05,36095,2012,California,West
CA,8,0.06707983959168794,6.71,38402,2012,California,West
CA,9,0.0629817634893777,6.3,37233,2012,California,West
CA,10,0.06279307928636878,6.28,37106,2012,California,West
CA,11,0.06639477511907138,6.64,35063,2012,California,West
CA,12,0.06699903787282428,6.7,34299,2012,California,West
CO,1,0.07275541795665634,7.28,4522,2012,Colorado,West
CO,2,0.06731436502428868,6.73,4323,2012,Colorado,West
CO,3,0.06603570660357067,6.6,4649,2012,Colorado,West
CO,4,0.06831364124597207,6.83,4655,2012,Colorado,West
CO,5,0.07000205888408483,7,4857,2012,Colorado,West
CO,6,0.07040498442367601,7.04,4815,2012,Colorado,West
CO,7,0.06701761490180198,6.7,4939,2012,Colorado,West
CO,8,0.07004330634532104,7,5311,2012,Colorado,West
CO,9,0.05722460658082976,5.72,4893,2012,Colorado,West
CO,10,0.05654281098546042,5.65,4952,2012,Colorado,West
CO,11,0.07668977469670711,7.67,4616,2012,Colorado,West
CO,12,0.0657339551410171,6.57,4503,2012,Colorado,West
DE,1,0.07421383647798742,7.42,795,2012,Delaware,South
DE,2,0.06002728512960437,6,733,2012,Delaware,South
DE,3,0.08496732026143791,8.5,765,2012,Delaware,South
DE,4,0.06928104575163399,6.93,765,2012,Delaware,South
DE,5,0.07788944723618091,7.79,796,2012,Delaware,South
DE,6,0.08269720101781171,8.27,786,2012,Delaware,South
DE,7,0.0712401055408971,7.12,758,2012,Delaware,South
DE,8,0.07701019252548132,7.7,883,2012,Delaware,South
DE,9,0.0874384236453202,8.74,812,2012,Delaware,South
DE,10,0.08657465495608532,8.66,797,2012,Delaware,South
DE,11,0.06367583212735166,6.37,691,2012,Delaware,South
DE,12,0.09035409035409035,9.04,819,2012,Delaware,South
FL,1,0.08108658743633276,8.11,14725,2012,Florida,South
FL,2,0.07827077843458444,7.83,14041,2012,Florida,South
FL,3,0.08035532650708618,8.04,14747,2012,Florida,South
FL,4,0.07783527382492454,7.78,13914,2012,Florida,South
FL,5,0.08429889682925137,8.43,14413,2012,Florida,South
FL,6,0.08361415332771693,8.36,14244,2012,Florida,South
