MRSTATE,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region
AK,1,0.07633587786259542,7.63,655,2017,Alaska,West
AK,2,0.0491283676703645,4.91,631,2017,Alaska,West
AK,3,0.07932379713914174,7.93,769,2017,Alaska,West
AK,4,0.06385869565217392,6.39,736,2017,Alaska,West
AK,5,0.06274509803921569,6.27,765,2017,Alaska,West
AK,6,0.07936507936507936,7.94,756,2017,Alaska,West
AK,7,0.07792207792207792,7.79,770,2017,Alaska,West
AK,8,0.05569948186528497,5.57,772,2017,Alaska,West
AK,9,0.0731070496083551,7.31,766,2017,Alaska,West
AK,10,0.05737704918032787,5.74,732,2017,Alaska,West
AK,11,0.07327586206896551,7.33,696,2017,Alaska,West
AK,12,0.0824891461649783,8.25,691,2017,Alaska,West
CA,1,0.07334861429464472,7.33,33593,2017,California,West
CA,2,0.0700061923540723,7,30683,2017,California,West
CA,3,0.06908436984864379,6.91,33365,2017,California,West
CA,4,0.0695764772763162,6.96,31663,2017,California,West
CA,5,0.07174706120794487,7.17,34538,2017,California,West
CA,6,0.06907414969955078,6.91,34282,2017,California,West
CA,7,0.0719247143177235,7.19,35704,2017,California,West
CA,8,0.06872630475114948,6.87,37191,2017,California,West
CA,9,0.06413255897167708,6.41,36331,2017,California,West
CA,10,0.06877726185450964,6.88,35535,2017,California,West
CA,11,0.06635503028164873,6.64,34014,2017,California,West
CA,12,0.07116968698517298,7.12,33385,2017,California,West
CO,1,0.07160948653004835,7.16,4343,2017,Colorado,West
CO,2,0.06989908934285011,6.99,4063,2017,Colorado,West
CO,3,0.06365159128978225,6.37,4776,2017,Colorado,West
CO,4,0.06484340538156154,6.48,4534,2017,Colorado,West
CO,5,0.067280163599182,6.73,4890,2017,Colorado,West
CO,6,0.0712,7.12,5000,2017,Colorado,West
CO,7,0.06498486377396569,6.5,4955,2017,Colorado,West
CO,8,0.06740054074932407,6.74,5178,2017,Colorado,West
CO,9,0.06061224489795918,6.06,4900,2017,Colorado,West
CO,10,0.06536485097636177,6.54,4865,2017,Colorado,West
CO,11,0.06323236789741322,6.32,4523,2017,Colorado,West
CO,12,0.06511729883797412,6.51,4561,2017,Colorado,West
DE,1,0.09497964721845319,9.5,737,2017,Delaware,South
DE,2,0.08853410740203194,8.85,689,2017,Delaware,South
DE,3,0.06717363751584284,6.72,789,2017,Delaware,South
DE,4,0.07901907356948229,7.9,734,2017,Delaware,South
DE,5,0.0779874213836478,7.8,795,2017,Delaware,South
DE,6,0.08869987849331713,8.87,823,2017,Delaware,South
DE,7,0.0874384236453202,8.74,812,2017,Delaware,South
DE,8,0.06463414634146342,6.46,820,2017,Delaware,South
DE,9,0.08118081180811808,8.12,813,2017,Delaware,South
DE,10,0.07738095238095238,7.74,840,2017,Delaware,South
DE,11,0.09053497942386832,9.05,729,2017,Delaware,South
DE,12,0.0703125,7.03,768,2017,Delaware,South
FL,1,0.07721602101116218,7.72,15230,2017,Florida,South
FL,2,0.07590759075907591,7.59,13938,2017,Florida,South
