MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region,MRSTATE,month_index
CA,1,0.06842011729162964,6.84,33762,2011,California,West,NA,1
CA,2,0.06783573237585355,6.78,31193,2011,California,West,NA,2
CA,3,0.0663967146262313,6.64,34821,2011,California,West,NA,3
CA,4,0.06520561141549762,6.52,33218,2011,California,West,NA,4
CA,5,0.06777597402597403,6.78,34496,2011,California,West,NA,5
CA,6,0.06652323580034424,6.65,34860,2011,California,West,NA,6
CA,7,0.0692040561189054,6.92,35995,2011,California,West,NA,7
CA,8,0.06442443080683298,6.44,37641,2011,California,West,NA,8
CA,9,0.06235787281843338,6.24,36499,2011,California,West,NA,9
CA,10,0.06723649981418485,6.72,34981,2011,California,West,NA,10
CA,11,0.06458052016673516,6.46,34066,2011,California,West,NA,11
CA,12,0.0664349840718216,6.64,34530,2011,California,West,NA,12
CO,1,0.07592634689702205,7.59,4399,2011,Colorado,West,NA,1
CO,2,0.06812710640346654,6.81,4154,2011,Colorado,West,NA,2
CO,3,0.06454876568191016,6.45,4942,2011,Colorado,West,NA,3
CO,4,0.06766604205704768,6.77,4803,2011,Colorado,West,NA,4
CO,5,0.06557377049180328,6.56,4941,2011,Colorado,West,NA,5
CO,6,0.07552447552447553,7.55,5005,2011,Colorado,West,NA,6
CO,7,0.06724380914032616,6.72,4967,2011,Colorado,West,NA,7
CO,8,0.06623554771702919,6.62,5103,2011,Colorado,West,NA,8
CO,9,0.06302955156023972,6.3,4839,2011,Colorado,West,NA,9
CO,10,0.07149122807017544,7.15,4560,2011,Colorado,West,NA,10
CO,11,0.06346368715083799,6.35,4475,2011,Colorado,West,NA,11
CO,12,0.07673964881855626,7.67,4613,2011,Colorado,West,NA,12
DE,1,0.07317073170731707,7.32,779,2011,Delaware,South,NA,1
DE,2,0.07547169811320754,7.55,689,2011,Delaware,South,NA,2
DE,3,0.0858974358974359,8.59,780,2011,Delaware,South,NA,3
DE,4,0.07446808510638298,7.45,752,2011,Delaware,South,NA,4
DE,5,0.0896637608966376,8.97,803,2011,Delaware,South,NA,5
DE,6,0.07142857142857142,7.14,826,2011,Delaware,South,NA,6
DE,7,0.0730816077953715,7.31,821,2011,Delaware,South,NA,7
DE,8,0.07674943566591422,7.67,886,2011,Delaware,South,NA,8
DE,9,0.07160493827160494,7.16,810,2011,Delaware,South,NA,9
DE,10,0.05674653215636822,5.67,793,2011,Delaware,South,NA,10
DE,11,0.06447368421052632,6.45,760,2011,Delaware,South,NA,11
DE,12,0.08421052631578947,8.42,760,2011,Delaware,South,NA,12
FL,1,0.08206664717918737,8.21,13684,2011,Florida,South,NA,1
FL,2,0.08013571370870022,8.01,12379,2011,Florida,South,NA,2
