"parameter","method","coverage","bias","MSE"
"CTE","group.time.ATT",0.951,-3.2523761261355e-05,4.65351311733958e-06
"CTE","group.time.ATT.ever.adopted",0.709,0.00016733143129445,2.2227917287529e-05
"CTE","TWFE",0.958,1.02872158876376e-05,2.44478508576181e-07
"CTE","TWFE.ever.adopted",0.579,-1.20752089772849e-05,1.44070785236465e-06
"DTE..1","group.time.ATT",0.997,-1.80709758339945e-05,8.14193517458741e-06
"DTE..1","group.time.ATT.ever.adopted",0.96,-0.000328511939711473,3.15111564888799e-05
"DTE..1","TWFE",0.949,-0.000105175830096541,7.63404081298427e-05
"DTE..1","TWFE.ever.adopted",0.949,-0.000105175830096541,7.63404081298427e-05
"DTE..10","group.time.ATT",0.997,-8.11162161627621e-05,7.48197032993408e-06
"DTE..10","group.time.ATT.ever.adopted",0.962,-5.46941375391886e-05,3.31759978733607e-05
"DTE..10","TWFE",0.961,3.96531140552674e-05,6.14007990203037e-05
"DTE..10","TWFE.ever.adopted",0.961,3.96531140552674e-05,6.14007990203037e-05
"DTE..11","group.time.ATT",0.994,5.81319340174724e-05,7.75729292154064e-06
"DTE..11","group.time.ATT.ever.adopted",0.958,0.000275362678385212,3.31704257295218e-05
"DTE..11","TWFE",0.947,0.000218190199054177,8.26587718026228e-05
"DTE..11","TWFE.ever.adopted",0.947,0.000218190199054177,8.26587718026228e-05
"DTE..12","group.time.ATT",0.997,-1.46703966963783e-05,7.25557346445052e-06
"DTE..12","group.time.ATT.ever.adopted",0.957,-8.88517110107574e-05,3.10078351819104e-05
"DTE..12","TWFE",0.964,2.03997684115111e-05,6.03229882303524e-05
"DTE..12","TWFE.ever.adopted",0.964,2.03997684115111e-05,6.03229882303524e-05
"DTE..13","group.time.ATT",0.996,4.57928609144233e-05,7.87751759910764e-06
"DTE..13","group.time.ATT.ever.adopted",0.956,-0.000113240575614854,3.1968505590176e-05
"DTE..13","TWFE",0.937,2.9464478236638e-05,7.85187532965064e-05
"DTE..13","TWFE.ever.adopted",0.937,2.9464478236638e-05,7.85187532965064e-05
"DTE..14","group.time.ATT",0.996,3.32088033610647e-05,8.4213535632656e-06
"DTE..14","group.time.ATT.ever.adopted",0.962,0.000147825774334464,3.12773295472977e-05
"DTE..14","TWFE",0.954,5.09602580453893e-05,6.14176963873046e-05
"DTE..14","TWFE.ever.adopted",0.954,5.09602580453893e-05,6.14176963873046e-05
"DTE..15","group.time.ATT",0.997,-3.26759991223035e-05,8.04133869579723e-06
"DTE..15","group.time.ATT.ever.adopted",0.967,-9.49273267390674e-05,3.06771747131054e-05
"DTE..15","TWFE",0.936,3.02611618509079e-05,7.99876817985384e-05
"DTE..15","TWFE.ever.adopted",0.936,3.02611618509079e-05,7.99876817985384e-05
"DTE..16","group.time.ATT",0.999,-2.46952037701729e-05,8.05099724942467e-06
"DTE..16","group.time.ATT.ever.adopted",0.953,-9.42991303803923e-05,3.38621099631254e-05
"DTE..16","TWFE",0.949,-5.36111016395815e-05,6.36101368182639e-05
"DTE..16","TWFE.ever.adopted",0.949,-5.36111016395815e-05,6.36101368182639e-05
"DTE..17","group.time.ATT",0.998,7.07618621785117e-05,7.60467371088112e-06
"DTE..17","group.time.ATT.ever.adopted",0.956,0.00016391781014353,3.30292948908476e-05
"DTE..17","TWFE",0.934,0.000170201243448274,8.46371754582759e-05
"DTE..17","TWFE.ever.adopted",0.934,0.000170201243448274,8.46371754582759e-05
"DTE..18","group.time.ATT",0.995,-0.000140861225797683,8.01809883098365e-06
"DTE..18","group.time.ATT.ever.adopted",0.965,-0.000125928886310803,3.12062916745363e-05
"DTE..18","TWFE",0.96,-0.000162304997226521,5.79554371473035e-05
"DTE..18","TWFE.ever.adopted",0.96,-0.000162304997226521,5.79554371473035e-05
"DTE..19","group.time.ATT",0.995,5.32481698558884e-05,7.69158560145632e-06
"DTE..19","group.time.ATT.ever.adopted",0.958,3.97086163477055e-05,3.34848250015715e-05
"DTE..19","TWFE",0.945,0.000168605626271635,7.83197948247677e-05
"DTE..19","TWFE.ever.adopted",0.945,0.000168605626271635,7.83197948247677e-05
