"parameter","method","coverage","bias","MSE"
"CTE","group.time.ATT",0.941,-7.70598434720067e-05,4.59905989245879e-06
"CTE","group.time.ATT.ever.adopted",0.928,1.71985151334905e-05,6.02056571643765e-06
"CTE","TWFE",0.951,1.46796315020722e-06,2.83193062197202e-07
"CTE","TWFE.ever.adopted",0.881,1.24306446718589e-05,4.37292330601568e-07
"DTE..1","group.time.ATT",0.994,-5.89776711448337e-05,5.62989186712831e-06
"DTE..1","group.time.ATT.ever.adopted",0.994,-0.000134355227798337,1.24279632735727e-05
"DTE..1","TWFE",0.952,6.98693229005199e-05,2.36025109738618e-05
"DTE..1","TWFE.ever.adopted",0.952,6.98693229005199e-05,2.36025109738618e-05
"DTE..10","group.time.ATT",0.996,-8.88922368799577e-05,5.45681242172513e-06
"DTE..10","group.time.ATT.ever.adopted",0.987,-0.000175978594800083,1.11431738618745e-05
"DTE..10","TWFE",0.95,4.45931358314466e-05,2.10026516183356e-05
"DTE..10","TWFE.ever.adopted",0.95,4.45931358314466e-05,2.10026516183356e-05
"DTE..11","group.time.ATT",0.998,0.000111984508690634,5.38607150491219e-06
"DTE..11","group.time.ATT.ever.adopted",0.996,0.000224817519672152,1.08884219911157e-05
"DTE..11","TWFE",0.954,0.000144896535824414,2.11333057162778e-05
"DTE..11","TWFE.ever.adopted",0.954,0.000144896535824414,2.11333057162778e-05
"DTE..12","group.time.ATT",0.993,2.74947435317153e-05,5.50505235754918e-06
"DTE..12","group.time.ATT.ever.adopted",0.991,-7.60769841363268e-05,1.17725397103635e-05
"DTE..12","TWFE",0.957,-3.12809639835814e-05,2.14426919426321e-05
"DTE..12","TWFE.ever.adopted",0.957,-3.12809639835814e-05,2.14426919426321e-05
"DTE..13","group.time.ATT",0.996,-0.000113708521192747,5.87419100616325e-06
"DTE..13","group.time.ATT.ever.adopted",0.993,-2.84044076486185e-05,1.16282186008827e-05
"DTE..13","TWFE",0.948,1.51037063997122e-05,2.09756210745141e-05
"DTE..13","TWFE.ever.adopted",0.948,1.51037063997122e-05,2.09756210745141e-05
"DTE..14","group.time.ATT",0.996,-3.50033066522123e-05,5.80746478669058e-06
"DTE..14","group.time.ATT.ever.adopted",0.993,-2.35153334662744e-05,7.7921743909596e-06
"DTE..14","TWFE",0.948,9.30535083248627e-05,2.18064050222369e-05
"DTE..14","TWFE.ever.adopted",0.948,9.30535083248627e-05,2.18064050222369e-05
"DTE..15","group.time.ATT",0.994,1.09308493561915e-05,5.67440746268349e-06
