"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.91,5.96754999620124e-05,5.57322895880455e-06,1
"CTE","group.time.ATT.ever.adopted",0.71,0.000478819045195322,1.77222511401509e-05,1
"CTE","staggered.SA",0.94,0.000109030171480031,6.32737188769237e-06,1
"CTE","TWFE",0.92,-7.48011126803346e-05,3.26093693658794e-07,1
"CTE","TWFE.alt",0.05,-0.00281791286818148,8.25023677412868e-06,1
"CTE","TWFE.alt.ever.adopted",0,-0.00279378810904611,7.96504563782564e-06,1
"CTE","TWFE.ever.adopted",0.58,3.96833891270633e-06,1.87904866936419e-06,1
"DTE..1","group.time.ATT",1,4.61332464666522e-05,7.83532569268098e-06,0
"DTE..1","group.time.ATT.ever.adopted",1,-0.000398526913976452,2.23738628915895e-05,0
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.97,-0.000427022332293806,6.92200890424944e-05,0.01
"DTE..1","TWFE.ever.adopted",0.97,-0.000427022332293806,6.92200890424944e-05,0.01
"DTE..10","group.time.ATT",1,0.000434055379646393,6.80301645397273e-06,0
"DTE..10","group.time.ATT.ever.adopted",0.98,0.000145591415436159,3.30108402312657e-05,0.02
"DTE..10","stacked.regression",0.97,0.000113056659586234,8.68105579328113e-06,0.02
"DTE..10","TWFE",1,-0.000588452748060673,4.48108970770076e-05,0
"DTE..10","TWFE.ever.adopted",1,-0.000588452748060673,4.48108970770076e-05,0
"DTE..11","group.time.ATT",1,-0.000596047986382945,6.48473677519299e-06,0
"DTE..11","group.time.ATT.ever.adopted",0.97,0.000887114551186886,2.60595958639684e-05,0.01
"DTE..11","stacked.regression",0.93,-0.000320998720060159,9.32326138660657e-06,0.05
"DTE..11","TWFE",0.97,-0.000702750092697501,7.90389624615158e-05,0.03
"DTE..11","TWFE.ever.adopted",0.97,-0.000702750092697501,7.90389624615158e-05,0.03
"DTE..12","group.time.ATT",1,-5.91009283334416e-05,6.72722881046848e-06,0
"DTE..12","group.time.ATT.ever.adopted",0.95,-0.00101497986132903,3.52844903413539e-05,0.04
"DTE..12","stacked.regression",0.91,0.000275049266322787,8.860719147499e-06,0.04
"DTE..12","TWFE",0.97,-0.00159161237541833,5.65094414490627e-05,0.03
"DTE..12","TWFE.ever.adopted",0.97,-0.00159161237541833,5.65094414490627e-05,0.03
"DTE..13","group.time.ATT",1,0.000344006899411971,6.80903862220207e-06,0
"DTE..13","group.time.ATT.ever.adopted",0.95,0.000484120357740027,3.0842724578762e-05,0.02
"DTE..13","stacked.regression",0.97,0.000334150194656229,6.63059499843379e-06,0.01
"DTE..13","TWFE",0.97,-0.000388388511996183,7.57068068482374e-05,0.01
"DTE..13","TWFE.ever.adopted",0.97,-0.000388388511996183,7.57068068482374e-05,0.01
"DTE..14","group.time.ATT",1,-7.20315081205934e-05,9.47069331770266e-06,0
"DTE..14","group.time.ATT.ever.adopted",0.94,-0.000590924978160657,4.12295494956975e-05,0.04
"DTE..14","stacked.regression",0.91,-9.8567047557425e-06,9.27287941625522e-06,0.04
"DTE..14","TWFE",0.99,-0.00100751428193868,5.63818246420783e-05,0.01
"DTE..14","TWFE.ever.adopted",0.99,-0.00100751428193868,5.63818246420783e-05,0.01
"DTE..15","group.time.ATT",1,0.000225002368055719,9.09806135865752e-06,0
"DTE..15","group.time.ATT.ever.adopted",0.97,0.000696073698035586,3.15559440584319e-05,0.01
"DTE..15","stacked.regression",0.94,6.21748033648512e-05,9.98429369051062e-06,0.04
"DTE..15","TWFE",0.95,-0.000334929975896844,7.64359347473292e-05,0.05
"DTE..15","TWFE.ever.adopted",0.95,-0.000334929975896844,7.64359347473292e-05,0.05
"DTE..16","group.time.ATT",1,-0.000479037126126895,6.68541556421215e-06,0
"DTE..16","group.time.ATT.ever.adopted",0.98,-0.0005135310539171,2.7062212370167e-05,0.02
"DTE..16","stacked.regression",0.98,-0.000162827564690868,7.68065247840698e-06,0.01
"DTE..16","TWFE",0.98,-0.00144908805645801,4.46546859372908e-05,0.02
"DTE..16","TWFE.ever.adopted",0.98,-0.00144908805645801,4.46546859372908e-05,0.02
"DTE..17","group.time.ATT",1,0.000298939582888405,6.81169908370197e-06,0
"DTE..17","group.time.ATT.ever.adopted",0.94,0.000490157715628222,3.13802535457722e-05,0.02
"DTE..17","stacked.regression",0.97,0.000316209561436027,7.86971911382822e-06,0
"DTE..17","TWFE",0.96,-0.00034710307392306,7.44872272844497e-05,0.03
"DTE..17","TWFE.ever.adopted",0.96,-0.00034710307392306,7.44872272844497e-05,0.03
"DTE..18","group.time.ATT",1,0.0001473853491769,7.9468735897606e-06,0
"DTE..18","group.time.ATT.ever.adopted",0.96,-0.000129327929685188,2.78614897927836e-05,0.02
"DTE..18","stacked.regression",0.96,1.7269978547622e-05,7.04405099355419e-06,0.02
"DTE..18","TWFE",0.95,-0.00154883100874304,5.35827258796726e-05,0.05
"DTE..18","TWFE.ever.adopted",0.95,-0.00154883100874304,5.35827258796726e-05,0.05
"DTE..19","group.time.ATT",1,5.71217230148491e-05,6.74799072200273e-06,0
"DTE..19","group.time.ATT.ever.adopted",0.94,-0.000208773546427328,3.07818842634373e-05,0.03
"DTE..19","stacked.regression",0.96,-0.000130115370629278,9.37186374558574e-06,0.03
"DTE..19","TWFE",0.94,-0.000632087083100476,7.69005459207192e-05,0.03
"DTE..19","TWFE.ever.adopted",0.94,-0.000632087083100476,7.69005459207192e-05,0.03
"DTE..2","group.time.ATT",1,0.000111848902701713,6.33313445213378e-06,0
"DTE..2","group.time.ATT.ever.adopted",0.97,-1.3531812542352e-05,2.97394853844568e-05,0.01
"DTE..2","stacked.regression",0.96,-4.61332464666531e-05,7.83532569268097e-06,0.03
"DTE..2","TWFE",0.96,-0.000933388554013118,6.51928825025675e-05,0.04
"DTE..2","TWFE.ever.adopted",0.96,-0.000933388554013118,6.51928825025675e-05,0.04
"DTE..20","group.time.ATT",1,-0.000706687267920484,7.48348921813e-06,0
"DTE..20","group.time.ATT.ever.adopted",0.98,-0.000535878603211798,2.73914041061941e-05,0.01
"DTE..20","stacked.regression",0.95,-0.000187237093644126,7.4427508445543e-06,0.03
"DTE..20","TWFE",0.99,-0.000452572322955846,4.64374336858998e-05,0.01
"DTE..20","TWFE.ever.adopted",0.99,-0.000452572322955846,4.64374336858998e-05,0.01
"DTE..21","group.time.ATT",1,-0.000103826802293257,7.55457933617555e-06,0
"DTE..21","group.time.ATT.ever.adopted",0.96,0.000603194010684205,2.69456011840057e-05,0.01
"DTE..21","stacked.regression",0.98,0.000519450174276359,6.50177738807071e-06,0
"DTE..21","TWFE",0.98,0.000429459050596344,6.77177172523487e-05,0
"DTE..21","TWFE.ever.adopted",0.98,0.000429459050596344,6.77177172523487e-05,0
"DTE..22","group.time.ATT",1,0.000577113659152758,8.4942582224874e-06,0
"DTE..22","group.time.ATT.ever.adopted",0.94,0.00010607004782218,2.95252199685746e-05,0.01
"DTE..22","stacked.regression",0.95,0.000623276976569615,9.20207155363363e-06,0.02
"DTE..22","TWFE",0.96,-0.000533538059563744,5.22345986222053e-05,0.04
"DTE..22","TWFE.ever.adopted",0.96,-0.000533538059563744,5.22345986222053e-05,0.04
"DTE..23","group.time.ATT",1,-0.000307377862085261,9.27903128165036e-06,0
"DTE..23","group.time.ATT.ever.adopted",0.97,-0.000680930601762202,3.51158855881491e-05,0.01
"DTE..23","stacked.regression",0.96,4.61633174168564e-05,7.80978822381657e-06,0.02
"DTE..23","TWFE",0.96,-0.000796146159371683,7.89763372055746e-05,0.03
"DTE..23","TWFE.ever.adopted",0.96,-0.000796146159371683,7.89763372055746e-05,0.03
"DTE..24","group.time.ATT",0.99,0.000342717398288863,8.47996642410028e-06,0.01
"DTE..24","group.time.ATT.ever.adopted",0.95,7.13008416377183e-06,3.36852421539624e-05,0.03
"DTE..24","stacked.regression",0.93,0.000353541179502118,1.04153481157086e-05,0.01
"DTE..24","TWFE",0.96,-0.000762004754927086,4.93892967544635e-05,0.03
"DTE..24","TWFE.ever.adopted",0.96,-0.000762004754927086,4.93892967544635e-05,0.03
"DTE..25","group.time.ATT",1,3.54247603688856e-05,7.16381005172901e-06,0
"DTE..25","group.time.ATT.ever.adopted",0.97,0.000453444724749359,3.30953497947057e-05,0.01
"DTE..25","stacked.regression",0.98,1.08237812132562e-05,7.08185615499323e-06,0.01
"DTE..25","TWFE",0.98,0.000224043402307637,6.65103918592875e-05,0.01
"DTE..25","TWFE.ever.adopted",0.98,0.000224043402307637,6.65103918592875e-05,0.01
"DTE..26","group.time.ATT",1,-0.000218658459719295,5.9100672065084e-06,0
"DTE..26","group.time.ATT.ever.adopted",0.94,-8.77109027935183e-05,3.09520470842133e-05,0.04
"DTE..26","stacked.regression",0.97,-2.46009791556309e-05,7.86266827439747e-06,0.01
"DTE..26","TWFE",0.97,-0.00117646608827922,4.81480149753752e-05,0.03
"DTE..26","TWFE.ever.adopted",0.97,-0.00117646608827922,4.81480149753752e-05,0.03
"DTE..27","group.time.ATT",0.98,9.39042905857502e-05,7.51042650438225e-06,0.01
"DTE..27","group.time.ATT.ever.adopted",0.94,0.000297951919182583,3.51145460158234e-05,0.04
"DTE..27","stacked.regression",0.95,0.000194057480563665,8.02270727125153e-06,0.02
"DTE..27","TWFE",0.95,-0.000278260184682428,8.59407773894684e-05,0.04
"DTE..27","TWFE.ever.adopted",0.95,-0.000278260184682428,8.59407773894684e-05,0.04
"DTE..28","group.time.ATT",1,-3.65445717057309e-05,7.35811156260294e-06,0
"DTE..28","group.time.ATT.ever.adopted",0.97,0.000443168478182317,3.24108425441721e-05,0.02
"DTE..28","stacked.regression",0.95,0.000100153189977914,8.59858321213847e-06,0.03
"DTE..28","TWFE",1,-0.000953659738794028,4.06599572820126e-05,0
"DTE..28","TWFE.ever.adopted",1,-0.000953659738794028,4.06599572820126e-05,0
"DTE..29","group.time.ATT",1,6.79009734266631e-06,6.99365392550046e-06,0
"DTE..29","group.time.ATT.ever.adopted",0.97,-0.00123920786137676,4.31667407763389e-05,0.02
"DTE..29","stacked.regression",0.92,0.000136697761683646,8.77399801712211e-06,0.02
"DTE..29","TWFE",0.95,-8.19744678791494e-05,7.13653289191163e-05,0.02
