"parameter","method","coverage","bias","MSE"
"CTE","group.time.ATT",0.9,0.00091536131756481,6.00942434352624e-06
"CTE","group.time.ATT.ever.adopted",0.9,0.00129553489370488,8.30225380878482e-06
"CTE","TWFE",1,0.00037956859090827,2.57485477284644e-07
"CTE","TWFE.ever.adopted",0.9,0.000425900311131051,6.48189072809627e-07
"DTE..1","group.time.ATT",1,2.03984001138961e-05,8.40230347710102e-06
"DTE..1","group.time.ATT.ever.adopted",1,-3.61092784172303e-05,1.03151539368602e-05
"DTE..1","TWFE",1,-0.00129590272119265,1.26061064545474e-05
"DTE..1","TWFE.ever.adopted",1,-0.00129590272119265,1.26061064545474e-05
"DTE..10","group.time.ATT",1,0.000178912372934581,2.62643786850717e-06
"DTE..10","group.time.ATT.ever.adopted",1,-0.000433699864768291,7.28753220732086e-06
"DTE..10","TWFE",1,-0.00108565763482766,9.46303476295217e-06
"DTE..10","TWFE.ever.adopted",1,-0.00108565763482766,9.46303476295217e-06
"DTE..11","group.time.ATT",1,0.000240131196944002,7.19874314558779e-06
"DTE..11","group.time.ATT.ever.adopted",1,0.000424885164116229,8.09445438711726e-06
"DTE..11","TWFE",1,-0.00135043018514278,1.12511823367854e-05
"DTE..11","TWFE.ever.adopted",1,-0.00135043018514278,1.12511823367854e-05
"DTE..12","group.time.ATT",1,0.000366581715946405,5.07201314961726e-06
"DTE..12","group.time.ATT.ever.adopted",1,0.000826943200224077,9.77951712547078e-06
"DTE..12","TWFE",1,-0.00154982227140202,2.12478374446043e-05
"DTE..12","TWFE.ever.adopted",1,-0.00154982227140202,2.12478374446043e-05
"DTE..13","group.time.ATT",1,-0.00111917627963448,1.22195682687023e-05
"DTE..13","group.time.ATT.ever.adopted",0.9,-0.000237499112159587,1.06820414043863e-05
"DTE..13","TWFE",0.9,-0.00188635715098499,2.59438222335989e-05
"DTE..13","TWFE.ever.adopted",0.9,-0.00188635715098499,2.59438222335989e-05
"DTE..14","group.time.ATT",1,9.41150900865114e-05,7.73904005812849e-06
"DTE..14","group.time.ATT.ever.adopted",1,0.000380046030339436,8.6410810320992e-06
"DTE..14","TWFE",1,-0.00135627393276276,1.62249679092515e-05
"DTE..14","TWFE.ever.adopted",1,-0.00135627393276276,1.62249679092515e-05
"DTE..15","group.time.ATT",1,0.000462725186351664,4.45394385302697e-06
"DTE..15","group.time.ATT.ever.adopted",1,-0.000515783463472134,4.36824646293685e-06
"DTE..15","TWFE",1,-0.00126464099123828,1.58091578135017e-05
"DTE..15","TWFE.ever.adopted",1,-0.00126464099123828,1.58091578135017e-05
"DTE..16","group.time.ATT",1,-0.00071920395235855,4.8568254405793e-06
"DTE..16","group.time.ATT.ever.adopted",1,-0.000133365510414835,5.37355899503676e-06
"DTE..16","TWFE",1,-0.00123125337255052,1.50239413930021e-05
"DTE..16","TWFE.ever.adopted",1,-0.00123125337255052,1.50239413930021e-05
"DTE..17","group.time.ATT",1,0.000619155650536849,5.17253061098527e-06
"DTE..17","group.time.ATT.ever.adopted",1,0.000348656286771605,9.88059616677982e-06
"DTE..17","TWFE",1,-0.0010597353066618,1.39612850115712e-05
"DTE..17","TWFE.ever.adopted",1,-0.0010597353066618,1.39612850115712e-05
"DTE..18","group.time.ATT",1,-0.00011559190247896,4.78246684285697e-06
"DTE..18","group.time.ATT.ever.adopted",1,1.32313411766207e-05,4.95047833583808e-06
"DTE..18","TWFE",1,-0.00164107001142205,1.66081999801504e-05
"DTE..18","TWFE.ever.adopted",1,-0.00164107001142205,1.66081999801504e-05
"DTE..19","group.time.ATT",1,-0.000425531664236834,3.48098618354046e-06
"DTE..19","group.time.ATT.ever.adopted",1,-0.00106560262236503,6.31614095809699e-06
"DTE..19","TWFE",1,-0.00163081621841189,1.22154578849161e-05
"DTE..19","TWFE.ever.adopted",1,-0.00163081621841189,1.22154578849161e-05
"DTE..2","group.time.ATT",1,-0.000406895335676582,4.86745291374475e-06
"DTE..2","group.time.ATT.ever.adopted",1,0.000197841650060097,1.0541232598472e-05
"DTE..2","TWFE",0.9,-0.00107794372571808,1.45265742730121e-05
"DTE..2","TWFE.ever.adopted",0.9,-0.00107794372571808,1.45265742730121e-05
"DTE..20","group.time.ATT",1,-0.00010072202152952,2.28635972161656e-06
"DTE..20","group.time.ATT.ever.adopted",1,0.000440275638053788,4.93364527502411e-06
"DTE..20","TWFE",1,-0.000387885545180898,1.6322114205442e-05
"DTE..20","TWFE.ever.adopted",1,-0.000387885545180898,1.6322114205442e-05
"DTE..21","group.time.ATT",1,-4.22565098712052e-05,2.94886857196455e-06
"DTE..21","group.time.ATT.ever.adopted",0.9,0.000740205003342692,1.22362335213493e-05
"DTE..21","TWFE",0.9,-0.000388708357047657,1.2789417374638e-05
"DTE..21","TWFE.ever.adopted",0.9,-0.000388708357047657,1.2789417374638e-05
"DTE..22","group.time.ATT",1,-6.87755834800588e-06,5.35357451856585e-06
"DTE..22","group.time.ATT.ever.adopted",1,-0.000637337498065529,1.06631229810462e-05
"DTE..22","TWFE",0.9,-0.00072239883664641,1.84195931506565e-05
"DTE..22","TWFE.ever.adopted",0.9,-0.00072239883664641,1.84195931506565e-05
"DTE..23","group.time.ATT",1,-0.000166813662250255,4.16136687446061e-06
"DTE..23","group.time.ATT.ever.adopted",1,0.000190947725143361,4.54021758425601e-06
"DTE..23","TWFE",1,-0.000300360463218962,9.28044307448703e-06
