"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.931,-7.2024170437785e-06,3.11672819800619e-06,1
"CTE","group.time.ATT.ever.adopted",0.918,-7.16522324922329e-05,5.37526186872171e-06,1
"CTE","staggered.SA",0.941,1.13539568631808e-05,3.43313840299816e-06,1
"CTE","target.trial",0.93,-2.52397988210158e-05,4.49266747938033e-06,1
"CTE","TWFE",0.95,-9.13255434705013e-07,2.45555126727234e-07,1
"CTE","TWFE.ever.adopted",0.839,-7.64811198699568e-06,5.13344191067844e-07,1
"DTE..1","group.time.ATT",0.994,-3.87288018410179e-05,5.79284149559042e-06,0.004
"DTE..1","group.time.ATT.ever.adopted",0.996,-1.87927933926735e-05,9.49437116254331e-06,0
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.94,1.13423901971232e-05,1.0178603860678e-05,0.029
"DTE..1","TWFE.ever.adopted",0.956,-6.50219696885852e-05,1.68925010553432e-05,0.02
"DTE..10","group.time.ATT",0.997,-6.36058477688782e-05,5.77138515854546e-06,0.002
"DTE..10","group.time.ATT.ever.adopted",0.995,-6.72065246918653e-05,8.38540508073898e-06,0.001
"DTE..10","stacked.regression",0.951,-8.16134810892143e-05,5.09344518904106e-06,0.03
"DTE..10","TWFE",0.946,-5.22739374542254e-05,9.75120600292039e-06,0.031
"DTE..10","TWFE.ever.adopted",0.956,-7.49562399957011e-05,1.42825520694842e-05,0.023
"DTE..11","group.time.ATT",0.997,3.83184634664415e-05,5.66794220151142e-06,0.001
"DTE..11","group.time.ATT.ever.adopted",0.996,7.60635916631227e-05,8.76071892046374e-06,0.002
"DTE..11","stacked.regression",0.946,-1.80076333203361e-05,5.99219198308472e-06,0.027
"DTE..11","TWFE",0.945,2.67949324354583e-05,9.9597982759208e-06,0.026
"DTE..11","TWFE.ever.adopted",0.956,6.47808416158552e-05,1.49977999915023e-05,0.02
"DTE..12","group.time.ATT",0.998,-0.000122946438608147,5.63402876418391e-06,0.002
"DTE..12","group.time.ATT.ever.adopted",0.995,-0.000122258905091379,8.66626845282016e-06,0.001
"DTE..12","stacked.regression",0.946,-5.63260967867777e-05,5.7269233534302e-06,0.032
"DTE..12","TWFE",0.947,-4.71288522500099e-05,1.01836250652036e-05,0.031
"DTE..12","TWFE.ever.adopted",0.958,-5.91433209701567e-05,1.5548878396957e-05,0.022
"DTE..13","group.time.ATT",0.997,5.38854191781941e-05,5.79064711177086e-06,0
"DTE..13","group.time.ATT.ever.adopted",0.99,6.45937034387035e-05,9.31525374417001e-06,0.003
"DTE..13","stacked.regression",0.949,6.66203418213692e-05,5.77673458421068e-06,0.019
"DTE..13","TWFE",0.949,0.000109741920248161,1.01922407433229e-05,0.023
"DTE..13","TWFE.ever.adopted",0.951,8.17352636073838e-05,1.46182079795115e-05,0.021
"DTE..14","group.time.ATT",0.998,-7.76573762500035e-05,5.62988622621111e-06,0
"DTE..14","group.time.ATT.ever.adopted",0.99,5.80782297536796e-05,8.64896017793602e-06,0.006
"DTE..14","stacked.regression",0.937,1.27349226431748e-05,5.75539155654389e-06,0.033
"DTE..14","TWFE",0.951,6.16488549474503e-05,9.581733347651e-06,0.027
"DTE..14","TWFE.ever.adopted",0.953,3.26308767107496e-05,1.28774751708862e-05,0.023
"DTE..15","group.time.ATT",0.998,4.91739924759527e-05,5.77987598407093e-06,0.001
"DTE..15","group.time.ATT.ever.adopted",0.998,1.82460470500481e-05,8.20676756211242e-06,0.001
"DTE..15","stacked.regression",0.942,9.03922988931789e-05,5.70582436870855e-06,0.024
"DTE..15","TWFE",0.955,8.22660695637509e-05,9.81130436777347e-06,0.018
"DTE..15","TWFE.ever.adopted",0.95,-3.65699097825024e-05,1.22096481539506e-05,0.023
"DTE..16","group.time.ATT",0.999,0.000110607116367965,5.26803917367664e-06,0
"DTE..16","group.time.ATT.ever.adopted",0.992,-5.07916227290978e-05,9.03210328814493e-06,0.005
"DTE..16","stacked.regression",0.949,4.1218306417226e-05,5.68931520368707e-06,0.029
"DTE..16","TWFE",0.948,6.12660413588156e-05,9.72213191835285e-06,0.027
"DTE..16","TWFE.ever.adopted",0.953,-5.16008707112209e-05,1.29843323997321e-05,0.024
"DTE..17","group.time.ATT",0.995,3.6074029609649e-05,5.87676050528165e-06,0.003
"DTE..17","group.time.ATT.ever.adopted",0.989,6.14550265983304e-06,8.99340094370425e-06,0.003
"DTE..17","stacked.regression",0.929,-6.93888099507393e-05,5.75587171362651e-06,0.041
"DTE..17","TWFE",0.948,-5.43363400668953e-05,9.44107980489581e-06,0.029
"DTE..17","TWFE.ever.adopted",0.948,-0.000173415283464018,1.32839885179085e-05,0.028
"DTE..18","group.time.ATT",0.996,-8.9696271057193e-05,5.83107504086173e-06,0.002
"DTE..18","group.time.ATT.ever.adopted",0.987,-1.95094234891586e-05,8.78151669392776e-06,0.005
"DTE..18","stacked.regression",0.954,-0.000105462839560388,4.87839381403531e-06,0.027
"DTE..18","TWFE",0.939,-6.75526068381016e-05,9.80683588385661e-06,0.03
"DTE..18","TWFE.ever.adopted",0.954,-0.00011785811486694,1.3099291240285e-05,0.02
"DTE..19","group.time.ATT",0.997,-5.77755785893932e-05,5.47769725841771e-06,0.001
"DTE..19","group.time.ATT.ever.adopted",0.996,-9.59988885898538e-05,8.50354639847087e-06,0.004
"DTE..19","stacked.regression",0.956,-1.57665685031952e-05,5.48544784306865e-06,0.025
"DTE..19","TWFE",0.939,-5.94973379929645e-06,9.71588794385754e-06,0.033
"DTE..19","TWFE.ever.adopted",0.953,-2.95120282036925e-05,1.3278476998787e-05,0.023
"DTE..2","group.time.ATT",0.996,-2.47315476566221e-05,5.70731649694086e-06,0.002
"DTE..2","group.time.ATT.ever.adopted",0.987,-9.48460766288717e-05,9.67344633842237e-06,0.01
"DTE..2","stacked.regression",0.95,3.8728801841018e-05,5.79284149559042e-06,0.025
"DTE..2","TWFE",0.946,7.04724078892157e-05,9.76482204314409e-06,0.023
"DTE..2","TWFE.ever.adopted",0.951,8.42873250945811e-05,1.71636679425502e-05,0.025
"DTE..20","group.time.ATT",0.996,5.69168563401037e-05,5.48325344947099e-06,0.002
"DTE..20","group.time.ATT.ever.adopted",0.994,0.000120168756135265,8.85536937610673e-06,0.003
"DTE..20","stacked.regression",0.952,4.20090100861977e-05,5.40854831483369e-06,0.021
"DTE..20","TWFE",0.934,6.9821933192186e-05,1.00244951351822e-05,0.033
"DTE..20","TWFE.ever.adopted",0.954,7.80814630068421e-05,1.41856538956029e-05,0.02
"DTE..21","group.time.ATT",0.991,-1.70957050532446e-05,5.73795150587753e-06,0.004
"DTE..21","group.time.ATT.ever.adopted",0.991,4.2658859469225e-05,8.61769021067433e-06,0.004
"DTE..21","stacked.regression",0.939,-1.4907846253906e-05,5.98388001657304e-06,0.032
"DTE..21","TWFE",0.95,2.32199249765349e-05,9.62884419784964e-06,0.021
"DTE..21","TWFE.ever.adopted",0.959,7.41358202827717e-06,1.38944804937456e-05,0.021
"DTE..22","group.time.ATT",0.995,-0.000126706256186238,5.56215127401898e-06,0.003
"DTE..22","group.time.ATT.ever.adopted",0.993,-0.000240741444280791,8.20731717311286e-06,0.005
"DTE..22","stacked.regression",0.946,2.1878587993387e-06,5.79557738917291e-06,0.03
"DTE..22","TWFE",0.945,3.38668076894655e-05,9.91583181895698e-06,0.027
"DTE..22","TWFE.ever.adopted",0.956,-8.73504266725092e-06,1.41332707513098e-05,0.021
"DTE..23","group.time.ATT",1,8.61183866322675e-05,5.47294732223385e-06,0
"DTE..23","group.time.ATT.ever.adopted",0.99,0.000180435930541728,8.80674983160057e-06,0.007
"DTE..23","stacked.regression",0.958,0.000128894114985576,5.14650733323576e-06,0.019
"DTE..23","TWFE",0.943,0.000180786417639884,9.62681460724791e-06,0.025
"DTE..23","TWFE.ever.adopted",0.947,0.000145534141889751,1.31863804400172e-05,0.023
"DTE..24","group.time.ATT",0.998,1.48141408842861e-05,5.70679403941868e-06,0
"DTE..24","group.time.ATT.ever.adopted",0.992,2.55203269808257e-06,8.40837550838392e-06,0.004
"DTE..24","stacked.regression",0.943,4.27757283533089e-05,6.04378852916385e-06,0.031
"DTE..24","TWFE",0.946,8.61885273761438e-05,9.83721980421778e-06,0.025
"DTE..24","TWFE.ever.adopted",0.955,1.22873062077029e-06,1.34420879939022e-05,0.021
"DTE..25","group.time.ATT",0.998,5.6460142214715e-05,5.54518870230704e-06,0.002
"DTE..25","group.time.ATT.ever.adopted",0.997,-5.94332046533622e-06,9.13883393648363e-06,0.001
"DTE..25","stacked.regression",0.948,2.79615874690226e-05,5.80818828054194e-06,0.023
"DTE..25","TWFE",0.954,2.79459437608392e-05,9.20253777318027e-06,0.023
"DTE..25","TWFE.ever.adopted",0.962,-9.73210472429237e-05,1.25902933975908e-05,0.017
"DTE..26","group.time.ATT",0.995,5.35900651345785e-05,5.50902033109809e-06,0.005
"DTE..26","group.time.ATT.ever.adopted",0.992,-6.31034030080999e-06,8.28605213119814e-06,0.006
"DTE..26","stacked.regression",0.946,-2.84985547456923e-05,5.53958581489754e-06,0.026
"DTE..26","TWFE",0.945,-2.57246594705034e-05,9.44207156011298e-06,0.032
"DTE..26","TWFE.ever.adopted",0.953,-0.00013415280771642,1.28471478298657e-05,0.028
"DTE..27","group.time.ATT",0.996,-1.7794218732869e-05,5.67837467893375e-06,0.002
"DTE..27","group.time.ATT.ever.adopted",0.991,0.000106250420050566,7.80850559322059e-06,0.004
"DTE..27","stacked.regression",0.947,-8.20886198802708e-05,5.68595726189484e-06,0.024
"DTE..27","TWFE",0.945,-4.70711746553171e-05,9.36012407368804e-06,0.027
"DTE..27","TWFE.ever.adopted",0.951,-7.07825597532988e-05,1.20955847231883e-05,0.025
"DTE..28","group.time.ATT",0.998,-8.02460771170415e-05,5.28825229112661e-06,0
"DTE..28","group.time.ATT.ever.adopted",0.994,-6.81689488759425e-05,7.58998123166565e-06,0.005
"DTE..28","stacked.regression",0.949,-6.4294401147402e-05,5.54927178649161e-06,0.028
"DTE..28","TWFE",0.955,-3.25554696990819e-05,9.12859691696752e-06,0.021
"DTE..28","TWFE.ever.adopted",0.959,-3.40526460039119e-05,1.22678173892301e-05,0.02
"DTE..29","group.time.ATT",0.995,2.60243793822312e-05,5.25179227771401e-06,0.004
"DTE..29","group.time.ATT.ever.adopted",0.993,-6.69894990705632e-05,8.19480467480376e-06,0.004
"DTE..29","stacked.regression",0.953,1.59516759696397e-05,5.4278887044374e-06,0.024
"DTE..29","TWFE",0.958,2.75394358977044e-05,9.12995298580855e-06,0.021
"DTE..29","TWFE.ever.adopted",0.958,-3.95364142460466e-06,1.35382494690109e-05,0.024
"DTE..3","group.time.ATT",0.999,6.67310887636787e-05,5.53587430205808e-06,0.001
"DTE..3","group.time.ATT.ever.adopted",0.996,0.000138028410088086,8.6028878797898e-06,0.001
"DTE..3","stacked.regression",0.946,6.34603494976399e-05,5.89823229943597e-06,0.028
"DTE..3","TWFE",0.948,0.000118484866130742,9.60797532845754e-06,0.024
"DTE..3","TWFE.ever.adopted",0.959,0.000183591280067657,1.65817077237469e-05,0.016
"DTE..30","group.time.ATT",0.999,-2.7178439918841e-06,5.58723162386528e-06,0.001
"DTE..30","group.time.ATT.ever.adopted",0.992,1.53507522895259e-05,8.40217759394591e-06,0.003
"DTE..30","stacked.regression",0.948,-1.00727034125916e-05,5.9739072512205e-06,0.027
"DTE..30","TWFE",0.943,1.50350461260836e-05,9.56566607653348e-06,0.03
"DTE..30","TWFE.ever.adopted",0.958,-3.42748667843629e-05,1.40912529136721e-05,0.021
"DTE..31","group.time.ATT",0.998,2.78467776890228e-05,5.28084113340265e-06,0.001
"DTE..31","group.time.ATT.ever.adopted",0.992,0.000106493048777697,8.27930841725638e-06,0.003
"DTE..31","stacked.regression",0.948,-7.35485942070752e-06,5.51770248381189e-06,0.027
"DTE..31","TWFE",0.955,5.36732755936744e-05,9.37711434143192e-06,0.02
"DTE..31","TWFE.ever.adopted",0.955,4.82045239388126e-05,1.43126132748812e-05,0.02
"DTE..32","group.time.ATT",0.997,-0.000116821254340857,5.69882305284026e-06,0.003
"DTE..32","group.time.ATT.ever.adopted",0.995,-0.000212926453859258,8.0063837888882e-06,0.004
"DTE..32","stacked.regression",0.947,-3.52016371097302e-05,5.84968014094869e-06,0.029
"DTE..32","TWFE",0.95,-5.77974333157505e-06,9.56172238331642e-06,0.02
"DTE..32","TWFE.ever.adopted",0.948,-8.71958203118148e-05,1.38563432472487e-05,0.025
"DTE..33","group.time.ATT",0.999,0.00025538928396267,5.12247598730029e-06,0
"DTE..33","group.time.ATT.ever.adopted",0.994,0.000276629061374199,8.4567759675492e-06,0.002
"DTE..33","stacked.regression",0.957,8.16196172311263e-05,5.49322853113085e-06,0.022
"DTE..33","TWFE",0.947,0.000127894754275846,9.73087310240705e-06,0.021
"DTE..33","TWFE.ever.adopted",0.95,5.75686332906518e-05,1.39523114813909e-05,0.022
"DTE..34","group.time.ATT",0.997,-0.000165031071213737,5.10071886336162e-06,0.002
"DTE..34","group.time.ATT.ever.adopted",0.987,-0.000266708419735524,8.19746574532674e-06,0.008
"DTE..34","stacked.regression",0.948,-0.000173769666731543,5.79913929910142e-06,0.028
"DTE..34","TWFE",0.948,-0.00015772236792226,9.72422434915083e-06,0.023
"DTE..34","TWFE.ever.adopted",0.95,-0.000268039522112883,1.36046593283176e-05,0.03
"DTE..35","group.time.ATT",0.996,9.82839800390759e-06,5.2154947330815e-06,0.001
"DTE..35","group.time.ATT.ever.adopted",0.995,0.00011482212794964,7.58432658722711e-06,0.002
"DTE..35","stacked.regression",0.948,-8.73859551780592e-06,5.71356861820466e-06,0.025
"DTE..35","TWFE",0.945,2.96709776875729e-05,9.42958334619268e-06,0.03
"DTE..35","TWFE.ever.adopted",0.943,-6.75493941618368e-06,1.16076823368953e-05,0.027
"DTE..36","group.time.ATT",0.997,-7.36798945562488e-05,6.14847957660169e-06,0.002
"DTE..36","group.time.ATT.ever.adopted",0.993,1.81990076965824e-05,1.04897542681438e-05,0
"DTE..36","stacked.regression",0.937,-1.85669935217136e-05,5.79299261597731e-06,0.041
"DTE..36","TWFE",0.95,-1.59792326894325e-05,9.28690927331362e-06,0.025
